event_date,event_name,description,category
1990-08-02,Gulf War Invasion,Iraq invades Kuwait; oil supply shock,Conflict
1991-01-17,Operation Desert Storm,Coalition forces attack Iraq; oil price spike,Conflict
1997-07-01,Asian Financial Crisis,Begins in Thailand; impacts global oil demand,Economic
1999-03-24,Kosovo War,NATO bombing of Yugoslavia; oil supply concerns,Conflict
2001-09-11,9/11 Attacks,Terrorist attacks in US; market uncertainty,Conflict
2003-03-20,Iraq War,US-led invasion; oil production disrupted,Conflict
2005-08-29,Hurricane Katrina,Devastates Gulf of Mexico oil infrastructure,Natural
2008-09-15,Lehman Bankruptcy,Global financial crisis peaks; demand collapse,Economic
2010-12-17,Arab Spring,Tunisia uprising spreads; oil supply fears,Conflict
2011-02-15,Libyan Civil War,Oil production halts; price spike,Conflict
2014-06-15,ISIS advances in Iraq,Oil supply fears,Conflict
2016-11-30,OPEC Production Cut,OPEC agrees to cut output to boost prices,OPEC
2020-01-03,Soleimani Killing,US kills Iranian general; tensions rise,Conflict
2020-03-11,COVID-19 Pandemic,WHO declares pandemic; global lockdowns,Health/Economic
2020-04-12,OPEC+ Deal,Historic production cut agreed; price recovery,OPEC
2022-02-24,Russia-Ukraine War,Sanctions on Russia; supply fears,Conflict
